gene	example1-sample1	example1-sample2	example1-sample3	example2-sample1	example2-sample2	example2-sample3
gene1	3.2251	5.1124	0.7389	4.1123	2.5567	3.7890
gene2	1.1290	6.7743	2.3457	3.3312	4.9987	1.2213
gene3	34.3342	0.9831	5.9982	6.1123	7.2234	3.9901
gene4	0.5533	7.1182	23.2219	1.9921	0.7745	0.3344
gene5	6.2217	4.1103	1.7749	2.1134	3.8899	5.2231
gene6	2.9982	5.3311	3.4420	4.5567	1.1122	6.4455
gene7	7.1101	1.2384	6.7734	5.3344	6.7788	2.9911
gene8	3.1142	10.9977	4.3388	7.1133	2.5567	3.1134
gene9	5.1112	3.7742	0.7733	1.1122	5.4433	2.7799
gene10	1.7730	5.2231	2.9901	4.6689	3.3321	7.7799
gene11	6.1181	2.7722	3.1178	8.2234	2.2244	4.5566
gene12	10.5532	6.9991	4.1199	9.3311	8.1133	5.3312
gene13	4.1189	1.7744	5.3301	3.2233	7.6677	1.1123
gene14	2.7711	3.2218	7.0043	6.9999	5.3344	3.1134
gene15	5.9932	4.1123	11.2277	3.3311	2.6688	6.2212
gene16	3.3399	0.7744	6.1183	1.5522	3.7799	4.4433
gene17	27.1180	5.3344	2.9933	7.2244	1.3322	5.3344
gene18	1.7722	3.4491	53.1133	6.7788	4.3321	3.2233
